Azimuth,Elevation,Latitude,Longitude,Hour,Min,Sec,Jday
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,12,0,0,0
